id,name,seo_name,has_detailed_info,wines_count
351,Raboso Piave,raboso-piave,false,958
352,Rieslaner,rieslaner,false,543
353,Rufete,rufete,false,716
354,Tinta Francisca,tinta-francisca,false,552
355,Weissburgunder,weissburgunder,false,14275
356,Bacchus,bacchus,false,2146
357,Siegerrebe,siegerrebe,false,358
358,Rivaner,rivaner,false,2582
359,Reichensteiner,reichensteiner,false,147
360,Ortega,ortega,false,821
361,Schönburger,schonburger,false,181
362,Klevner,klevner,false,175
363,Muscat of Alexandria,muscat-of-alexandria,false,1339
364,Tazzelenghe,tazzelenghe,false,68
365,Cesanese,cesanese,false,471
366,Bical,bical,false,1478
367,Encruzado,encruzado,false,2128
368,Pederna,pederna,false,201
369,Madeleine Angevine,madeleine-angevine,false,198
370,Vespaiola,vespaiola,false,225
371,Isabella,isabella,false,450
372,Fragolino,fragolino,false,163
373,Hanepoot,hanepoot,false,90
374,Riesling Renano,riesling-renano,false,726
375,Uva Rara,uva-rara,false,406
376,Blauburger,blauburger,false,644
377,Cococciola,cococciola,false,193
378,Cornifesto,cornifesto,false,37
379,Valdeorras,valdeorras,false,28
380,Grao Negro,grao-negro,false,16
381,Incrocio Manzoni,incrocio-manzoni,false,309
382,Lacrima,lacrima,false,714
383,Lambrusco,lambrusco,false,5696
384,Marcobona,marcobona,false,11
385,Mencia,mencia,false,4391
386,Nerello Cappuccio,nerello-cappuccio,false,762
387,Roscetto,roscetto,false,98
388,Ruché,ruche,false,332
389,Timorasso,timorasso,false,513
390,Touriga Francesa,touriga-francesa,false,1642
391,Verdiso,verdiso,false,239
392,Verduzzo,verduzzo,false,992
394,Furmint,furmint,false,5398
404,Grolleau,grolleau,false,792
414,Picapoll Blanco,picapoll-blanco,false,279
424,Cabernet Dorio,cabernet-dorio,false,182
434,Doña Blanca,dona-blanca,false,185
444,Godello,godello,false,2634
454,Pedro Ximenez,pedro-ximenez,false,2388
464,Ortrugo,ortrugo,false,450
474,Albanella,albanella,false,67
484,Pulcinculo,pulcinculo,false,25
494,Kadarka,kadarka,false,1101
504,Antão Vaz,antao-vaz,false,4848
514,Trincadeira,trincadeira,false,8969
524,Cerceal Branco,cerceal-branco,false,1045
534,Maria Gomes,maria-gomes,false,495
545,Alva,alva,false,91
546,Alvarinho,alvarinho,false,3854
547,Assario Branco,assario-branco,false,44
548,Azal,azal,false,462
549,Bouvier,bouvier,false,156
550,Bovale,bovale,false,275
551,Braucol,braucol,false,418
552,Bukettraube,bukettraube,false,91
553,Camarate,camarate,false,341
554,Chancellor,chancellor,false,215
555,DeChaunac,dechaunac,false,155
556,Duras,duras,false,391
557,Folle Blanche,folle-blanche,false,371
558,Kékoportó,kekoporto,false,112
559,Len de l'El,len-de-lel,false,81
560,Loin de l'Oeil,loin-de-loeil,false,227
561,Manteudo,manteudo,false,88
562,Marselan,marselan,false,1605
563,Melnik,melnik,false,265
564,Merseguera,merseguera,false,319
565,Monica,monica,false,363
566,Morenillo,morenillo,false,99
567,Moristel,moristel,false,178
568,Mourisco,mourisco,false,58
569,Pagadebit,pagadebit,false,75
570,Pamid,pamid,false,50
571,Parraleta,parraleta,false,108
572,Periquita,periquita,false,223
573,Perrum,perrum,false,493
574,Pontac,pontac,false,8
575,Preto Martinho,preto-martinho,false,35
576,Rebo,rebo,false,250
577,Rossignola,rossignola,false,126
578,Rougeon,rougeon,false,51
579,Samsó,samso,false,1457
580,Síria,siria,false,1129
581,Tália,talia,false,21
582,Tauberschwarz,tauberschwarz,false,55
583,Tibouren,tibouren,false,411
584,Tinta Caiada,tinta-caiada,false,285
585,Ull de Llebre,ull-de-llebre,false,614
586,Uva di Troia,uva-di-troia,false,238
587,Vijiriega,vijiriega,false,152
588,Welschriesling,welschriesling,false,3554
589,Aidani,aidani,false,153
590,Altesse,altesse,false,587
591,André,andre,false,377
592,Amigne,amigne,false,514
593,Argaman,argaman,false,130
594,Petite Arvine,petite-arvine,false,1927
595,Athiri,athiri,false,283
596,Aurelius,aurelius,false,245
597,Cornalin,cornalin,false,1416
598,Diolinoir,diolinoir,false,997
599,Durella,durella,false,309
600,Garanoir,garanoir,false,1338
601,Hondarrabi Zuri,hondarrabi-zuri,false,534
602,Humagne Rouge,humagne-rouge,false,998
603,Irsai Oliver,irsai-oliver,false,755
604,Jacquère,jacquere,false,660
605,Korinthiaki,korinthiaki,false,8
608,Malmsey,malmsey,false,181
609,Mandilaria,mandilaria,false,376
610,Mavrodafni,mavrodafni,false,213
611,Mavrotragano,mavrotragano,false,97
612,Melody,melody,false,41
613,Modrý Portugal,modry-portugal,false,485
614,Cinsaut,cinsaut,false,2478
615,Palava,palava,false,1207
616,Rhoditis,roditis,false,415
617,Susumaniello,susumaniello,false,247
618,Taminga,taminga,false,24
619,Treixadura,treixadura,false,1314
620,Vespolina,vespolina,false,501
621,Villard blanc,villard-blanc,false,54
622,Villard Noir,villard-noir,false,28
623,Smederevka,smederevka,false,78
624,Kratosija,kratosija,false,41
625,Vranac,vranac,false,1172
626,Stanusina,stanusina,false,22
627,Teinturier,teinturier,false,30
628,Callet,callet,false,667
629,Prensal,prensal,false,342
630,Prieto Picudo,prieto-picudo,false,653
631,Leon Millot,leon-millot,false,395
632,Plavac Mali,plavac-mali,false,1926
633,Moscato Bianco,moscato-bianco,false,1269
634,Gaglioppo,gaglioppo,false,622
635,Magliocco Canino,magliocco-canino,false,241
636,Roter Veltliner,roter-veltliner,false,543
637,Seibel,seibel,false,123
638,Rondo,rondo,false,699
639,Fruhroter Veltliner,fruhroter-veltliner,false,232
641,Humagne Blanche,humagne-blanche,false,401
642,Auxerrois,auxerrois,false,2305
643,Saperavi,saperavi,false,5946
644,Cardinal,cardinal,false,89
645,Gamaret,gamaret,false,2373
646,Xynisteri,xynisteri,false,277
647,Mavro,mavro,false,154
648,Blauer Portugieser,blauer-portugieser,false,2316
649,Munson,munson,false,17
652,Maroo,maroo,false,8
653,Manto Negro,manto-negro,false,803
655,Sugar,sugar,false,32
656,Maratheftiko,maratheftiko,false,223
657,Orion,orion,false,81
658,Solaris,solaris,false,1027
659,Madeline Sylvaner,madeline-sylvaner,false,29
661,Prié,Prie,false,162
662,Fumin,fumin,false,347
663,Nielluccio,nielluccio,false,1289
664,Azal Branco,azal-branco,false,61
665,Chatus,chatus,false,66
666,Zalema,zalema,false,143
667,Edelweiss,edelweiss,false,133
668,St. Pepin,st-pepin,false,51
669,Boal Branco,boal-branco,false,239
670,Scuppernong,scuppernong,false,63
671,Albarossa,albarossa,false,240
672,Huxelrebe,huxelrebe,false,872
673,Caiño tinto,caino-tinto,false,253
674,Vinhão,vinhao,false,444
675,Blauburgunder,blauburgunder,false,2883
676,Cserszegi Füszeres,cserszegi-fuszeres,false,283
677,Vaccareze,vaccareze,false,174
678,Muscardin,muscardin,false,193
679,Orangetraube,orangetraube,false,16
680,Abrusco,abrusco,false,347
681,Abrostine,abrostine,false,210
682,Abouriou,abouriou,false,302
683,Abbuoto,abbuoto,false,320
684,Acitana,acitana,false,272
685,Adakarasi,adakarasi,false,366
686,Adalmina,adalmina,false,562
687,Addoraca,addoraca,false,313
688,Affenthaler,affenthaler,false,265
689,AG Malayi,ag-malayi,false,164
690,Agiomavritiko,agiomavritiko,false,98
691,Agni,agni,false,47
692,Agronómica,agronomica,false,51
693,Água santa,agua-santa,false,39
694,Ahumat,ahumat,false,36
695,Akhtanak,akhtanak,false,57
696,Aladasturi,aladasturi,false,58
697,Alarije,alarije,false,56
698,Albarin Blanco,arbarin-blanco,false,261
699,Albaranzeuli Bianco,albaranzeuli-blanco,false,28
700,Albaranzeuli Nero,albaranzeuli-nero,false,30
701,Albillo de Albacete,albillo-de-albacete,false,53
702,Albillo Real,albillo-real,false,418
703,Alcanón,alcanon,false,46
704,Aleksandrouli,aleksandrouli,false,240
705,Alexander,alexander,false,53
706,Alionza,alionza,false,28
707,Allegro,allegro,false,73
708,Amaral,amaral,false,64
709,Antey Magarachsky,antey-magarachsky,false,22
710,Araklinos,araklinos,false,23
711,Aramon,aramon,false,106
712,Aranel,aranel,false,21
713,Arany Sárfehér,arany-sarfeher,false,22
714,Arbane,arbane,false,68
715,Areni,areni,false,420
716,Areti,areti,false,43
717,Arilla,arilla,false,18
718,Arna-Grna,arna-grna,false,16
720,Arnsburger,arnsburger,false,33
721,Arriloba,arriloba,false,31
722,Arrouya,arrouya,false,29
723,Arrufiac,arrufiac,false,169
724,Arvesiniadu,arvesiniadu,false,14
725,Arvine,arvine,false,193
726,Ashughaji,ashughaji,false,9
727,Asuretuli Shavi,sauretuli-shavi,false,18
728,Aurore,aurore,false,51
729,Avanà,avana,false,35
730,Avarengi,avarengi,false,15
731,Avasirkhva,avasirkhva,false,11
732,Avesso,avesso,false,289
733,Avgoustiatis,avgoustiatis,false,77
734,Babic,babic,false,136
735,Babica,babica,false,23
736,Bachet Noir,bachet-noir,false,18
737,Baco Blanc,baco-blanc,false,57
738,Bagrina,bagrina,false,13
739,Balzac Blanc,balzac-blanc,false,21
740,Baratuciat,baratuciat,false,27
741,Barbarossa,barbarossa,false,148
742,Barbaroux,barbaroux,false,45
743,Barbera Bianca,barbera-bianca,false,40
744,Barbera del sannio,barbera-del-sannio,false,36
745,Barbera Sarda,barbera-sarda,false,31
746,Barcelo,barcelo,false,38
747,Bariadorgia,bariadorgia,false,11
748,Baroque,barouqe,false,69
749,Barsaglina,barsaglina,false,31
750,Bastardo Magarachsky,bastardo-magarachsky,false,761
751,Batiki,batiki,false,13
752,Batoca,batoca,false,16
753,Bayanshira,bayanshira,false,32
754,Beaunoir,beaunoir,false,34
755,Beba,beba,false,26
756,Béclan,beclan,false,9
757,Beichun,beichun,false,8
758,Bekari,bekari,false,28
759,Belat,belat,false,11
760,Bellone,bellone,false,212
761,Bena,bena,false,17
762,Bíborkadarka,biborkadarka,false,17
763,Bigolona,bigolona,false,11
764,Nirstaler Muskat,birstaler-muskat,false,7
765,Black Queen,black-queen,false,131
766,Blanc Dame,blanc-dame,false,66
767,Blanc du Bois,blanc-du-bois,false,211
768,Blanqueiro,blanqueiro,false,17
769,Blatina,blatina,false,152
771,Blauer Urban,blauer-urban,false,35
772,Blauer Wildbacher,blauer-wildbacher,false,143
773,Bogazkere,bogazkere,false,437
774,Bogdanusa,bogdanusa,false,43
775,Bonamico,Italy,false,11
776,Bonda,bonda,false,7
777,Bondola,bondola,false,55
778,Bondoletta,bondoletta,false,13
779,Bordô,bordo,false,724
780,Bosco,bosco,false,214
781,Bouchalès,bouchales,false,35
782,Bourrisquou,bourrisquou,false,10
783,Bouteillan Noir,bouteillan-noir,false,24
784,Bracciola Nera,bracciola-nera,false,8
785,Braquet,braquet,false,54
786,Bratkovina Bijela,bratkovina-bijela,false,4
787,Brauner Veltliner,brauner-veltliner,false,8
788,Breidecker,breidecker,false,10
789,Breslava,breslava,false,27
790,Brianna,brianna,false,53
791,Bronner,bronner,false,74
792,Brugnola,brugnola,false,16
793,Brun Argenté,brun-argente,false,24
794,Brun Fourca,brun-fourca,false,14
795,Brustiano,brustiano,false,11
796,Bubbierasco,bubbierasco,false,4
797,Budai Zöld,budai-zold,false,35
798,Budeshuri Tsiteli,budeshuri-tsiteli,false,15
799,Buket,buket,false,15
800,Bussanello,bussanello,false,13
801,Busuioaca de Bohotin,busuioaca-debohotin,false,108
802,Caberinta,caberinta,false,47
803,Cabernet Blanc,cabernet-blanc,false,1211
804,Cabernet Carbon,cabernet-carbon,false,139
805,Cabernet Carol,cabernet-carol,false,78
806,Cabernet Colonjes,cabernet-colonjes,false,40
807,Cabernet Cortis,cabernet-cortis,false,347
808,Cabernet Cubin,cabernet-cubin,false,260
